Rep	Year	RepSeason	x	y	Species	NInd	NInd_stage1	NJuvs
0	1	0	312	296	0	1	1	0
0	1	0	314	296	0	2	2	4
0	1	0	253	295	0	2	2	1
0	1	0	260	295	0	4	4	0
0	1	0	295	295	0	1	1	0
0	1	0	300	295	0	2	2	0
0	1	0	303	295	0	3	3	0
0	1	0	310	295	0	2	2	1
0	1	0	273	294	0	1	1	1
0	1	0	286	294	0	3	3	1
0	1	0	287	294	0	3	3	0
0	1	0	291	294	0	2	2	2
0	1	0	303	294	0	2	2	1
0	1	0	311	294	0	2	2	0
0	1	0	312	294	0	3	3	1
0	1	0	327	294	0	0	0	0
0	1	0	330	294	0	3	3	1
0	1	0	355	294	0	2	2	1
0	1	0	257	293	0	2	2	0
0	1	0	265	293	0	2	2	2
0	1	0	274	293	0	1	1	0
0	1	0	277	293	0	1	1	1
0	1	0	283	293	0	2	2	0
0	1	0	285	293	0	1	1	1
0	1	0	291	293	0	1	1	1
0	1	0	293	293	0	2	2	1
0	1	0	300	293	0	3	3	0
0	1	0	307	293	0	0	0	0
0	1	0	311	293	0	2	2	0
0	1	0	312	293	0	1	1	2
0	1	0	346	293	0	0	0	0
0	1	0	282	292	0	1	1	0
0	1	0	288	292	0	2	2	0
0	1	0	300	292	0	2	2	1
0	1	0	310	292	0	2	2	1
0	1	0	311	292	0	2	2	2
0	1	0	312	292	0	1	1	0
0	1	0	283	291	0	2	2	0
0	1	0	299	291	0	2	2	0
0	1	0	300	291	0	4	4	1
0	1	0	268	290	0	4	4	1
0	1	0	303	290	0	2	2	3
0	1	0	309	290	0	0	0	0
0	1	0	315	290	0	2	2	0
0	1	0	300	289	0	1	1	2
0	1	0	318	289	0	1	1	1
0	1	0	276	288	0	2	2	0
0	1	0	300	288	0	1	1	0
0	1	0	266	286	0	1	1	1
0	1	0	289	286	0	2	2	0
0	1	0	315	286	0	2	2	0
0	1	0	319	286	0	1	1	0
0	1	0	320	286	0	2	2	2
0	1	0	321	286	0	2	2	0
0	1	0	300	285	0	2	2	1
0	1	0	314	285	0	3	3	1
0	1	0	315	285	0	1	1	1
0	1	0	321	285	0	3	3	1
0	1	0	325	285	0	2	2	3
0	1	0	300	284	0	2	2	1
0	1	0	311	284	0	1	1	0
0	1	0	313	284	0	3	3	2
0	1	0	314	284	0	2	2	1
0	1	0	311	283	0	2	2	0
0	1	0	330	283	0	3	3	1
0	1	0	311	282	0	3	3	0
0	1	0	331	282	0	1	1	0
0	1	0	343	282	0	1	1	0
0	1	0	251	281	0	2	2	0
